緯度,經度,案件編號,立案案號
22.996198,120.204719, UN201505030095 , A-TB-2015-20340 
23.173179,120.1792288, UN201505030104 , A-TB-2015-20344 
22.9867762,120.204344, UN201505030122 , A-TB-2015-20357 
23.0093406,120.2201758, UN201505030151 , A-TB-2015-20372 
22.995721,120.184082, UN201505040019 , A-TB-2015-20414 
23.0022543,120.2353704, UN201505040119 , A-TB-2015-20514 
22.9859949,120.2134653, UN201505040129 , A-TB-2015-20474 
23.0645351,120.2944186, UN201505040162 , A-TB-2015-20521 
22.9425196,120.2295862, UN201505040179 , A-TB-2015-20513 
22.9996873,120.2180947, UN201505040180 , A-TB-2015-20519 
23.0005752,120.2059762, UN201505040220 , A-TB-2015-20532 
22.9716752,120.2326639, UN201505040257 , A-TB-2015-20550 
22.9797741,120.2285177, UN201505040316 , A-TB-2015-20580 
23.1826765,120.2513936, UN201505040327 , A-TB-2015-20586 
22.9914987,120.2302909, UN201505040361 , A-TB-2015-20628 
22.9920524,120.1893325, UN201505050002 , A-TB-2015-20644 
23.0072404,120.2257872, UN201505050015 , A-TB-2015-20647 
22.9907494,120.1813946, UN201505050033 , A-TB-2015-20651 
22.9939617,120.2095661, UN201505050046 , A-TB-2015-20655 
22.9920735,120.231106, UN201505050066 , A-TB-2015-20665 
23.0079941,120.2254914, UN201505050076 , A-TB-2015-20668 
