Id,Address,Latitude,Longitude,Time,Deaths_and_Injuries,Vehicles
14877,臺南市東山區東正里南99線0.8公里(東原高幹6-1電桿)處,-1.00000000000 ,-1.00000000000 ,106年11月01日 17時00分19秒,死亡0;受傷1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
14878,臺南市柳營區士林里台一線與柳營路一段279巷口,23.26456018031 ,120.31293707347 ,106年11月01日 17時15分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14879,臺南市東區東門城圓環西側,22.98042000000 ,120.22386000000 ,106年11月01日 17時25分29秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14880,臺南市佳里區六安里臺19線公路與南28線路口附近,23.17863822554 ,120.18121169841 ,106年11月01日 17時40分00秒,死亡0;受傷1,自用-小客車;自用-小客車
14881,臺南市永康區東橋三路東側,23.02104006000 ,120.23391071250 ,106年11月01日 17時40分12秒,死亡0;受傷1,自用-小客車;腳踏自行車-慢車
14882,臺南市東區裕農路855號西側,22.98962906302 ,120.24242305898 ,106年11月01日 17時50分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14883,臺南市南區永成路3段195號,22.96742400000 ,120.19537968206 ,106年11月01日 17時50分00秒,死亡0;受傷1,自用-小客車;行人-人
14884,臺南市官田區二鎮里工社西街西側,23.21834959310 ,120.32425101161 ,106年11月01日 17時52分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14885,臺南市善化區坐駕里和平路與自立路口,23.12820000000 ,120.29859900000 ,106年11月01日 18時05分48秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人
14886,臺南市安南區大安街459號,23.03861077434 ,120.19279402663 ,106年11月01日 18時16分00秒,死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
14887,臺南市新營區大宏里同濟街南側,23.31080159668 ,120.31998958778 ,106年11月01日 18時19分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人;乘客-人
14888,臺南市永康區王行里中正北路320號前0.0公尺東側,23.04276000000 ,120.27556000000 ,106年11月01日 18時30分00秒,死亡0;受傷1,自用-小客車;腳踏自行車-慢車
14889,臺南市歸仁區許厝里仁愛南街62號西側,22.96438200000 ,120.30054018206 ,106年11月01日 18時36分20秒,死亡0;受傷1,租賃車-小客車
14890,臺南市永康區崑山里大仁街52號東側,23.00188879295 ,120.25677604622 ,106年11月01日 18時40分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14891,臺南市永康區永明街東側,23.02504980481 ,120.26028869433 ,106年11月01日 19時05分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14892,臺南市永康區大橋里甲頂路西側,23.02188000000 ,120.23691000000 ,106年11月01日 19時10分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14893,臺南市新營區民權里中正路7號西側,23.31178000000 ,120.31173000000 ,106年11月01日 19時18分00秒,死亡0;受傷1,自用-小客車;普通重型-機車;乘客-人
14894,臺南市東區林森路二段北側,22.99900943482 ,120.22445258059 ,106年11月01日 19時20分00秒,死亡0;受傷1,普通輕型-機車;普通重型-機車
14895,臺南市新市區豐華里看西路28號前路段,23.09297444936 ,120.25649663336 ,106年11月01日 19時32分00秒,死亡0;受傷2,普通重型-機車;電動自行車-慢車;乘客-人
14896,臺南市安南區府安路3段南側,23.02815291861 ,120.21781472946 ,106年11月01日 19時40分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14897,臺南市安南區安通路西側,23.04698000000 ,120.18477000000 ,106年11月01日 19時43分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人
14898,臺南市佳里區進學路南側,23.16573559262 ,120.19114652036 ,106年11月01日 19時44分37秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人
14899,臺南市仁德區二層行橋上,22.91613759960 ,120.22597703832 ,106年11月01日 19時50分00秒,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車
14900,臺南市歸仁區大德路北側,22.97143707346 ,120.29918528150 ,106年11月01日 19時53分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14901,臺南市仁德區文華路2段東側,22.95779317856 ,120.24023474188 ,106年11月01日 20時25分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14902,臺南市永康區永康里正強街北側,23.02500810436 ,120.25224138764 ,106年11月01日 20時44分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14903,臺南市永康區正南五街北側,23.03458244737 ,120.23902589614 ,106年11月01日 20時55分00秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人
14904,臺南市東區北門路一段52號,22.99055240744 ,120.21153782904 ,106年11月01日 21時04分34秒,死亡0;受傷3,普通重型-機車;普通重型-機車;自用-小客車;乘客-人
14905,臺南市仁德區保安路1段17號前0.0公尺南側,22.92360705413 ,120.22481979739 ,106年11月01日 21時40分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14906,臺南市安南區郡安路南側,23.04698000000 ,120.18477000000 ,106年11月01日 21時43分00秒,死亡0;受傷1,普通重型-機車;自用-小客車
